so_no,so_seq,so_ref,tgl,target_delivery,buyer,pic,destination,brand,kategori,tipe,item_no,deskripsi,qty,harga,total,mata_uang
SO-2605-009,1,009,2026-05-06,May,SINAR TERANG BERSAMA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,810000,810000,IDR
SO-2605-009,2,009,2026-05-06,May,SINAR TERANG BERSAMA,PUTRA,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,1,1600000,1600000,IDR
SO-2605-010,1,010,2026-05-07,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,5,850000,4250000,IDR
SO-2605-011,1,011,2026-05-07,May,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,6,1600000,9600000,IDR
SO-2605-012,1,012,2026-05-07,May,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,6,850000,5100000,IDR
SO-2605-012,2,012,2026-05-07,May,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,1,870000,870000,IDR
SO-2605-012,3,012,2026-05-07,May,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1100R20AJ101,VULGIS 11.00R20 AJ101,1,900000,900000,IDR
SO-2605-014,1,014,2026-05-08,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1625000,6500000,IDR
SO-2605-014,2,014,2026-05-08,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1600000,3200000,IDR
SO-2605-013,1,013,2026-05-09,May,PT. SAMUDERA PERDANA SELARAS,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1570000,15700000,IDR
SO-2605-015,1,015,2026-05-11,May,PT. ARENDRA GLOBAL SOLUSI,HANIEF,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,14,1375000,19250000,IDR
SO-2605-016,1,016,2026-05-11,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,6,1625000,9750000,IDR
SO-2605-017,1,017,2026-05-12,May,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,1,720000,720000,IDR
SO-2605-018,1,018,2026-05-12,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,7,850000,5950000,IDR
SO-2605-019,1,019,2026-05-12,May,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,12,1530000,18360000,IDR
SO-2605-020,1,020,2026-05-13,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,2,1625000,3250000,IDR
SO-2605-020,2,020,2026-05-13,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,3,1600000,4800000,IDR
SO-2605-021,1,021,2026-05-16,May,PT. YUJU INDONESIA,SAIFUL,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,2,700000,1400000,IDR
SO-2605-022,1,022,2026-05-16,May,PT. SAMUDERA PERDANA SELARAS,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1570000,15700000,IDR
SO-2605-023,1,023,2026-05-18,May,PT. MAHAKARYA BERKAT PUTRA MANDIRI,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1600000,16000000,IDR
SO-2605-024,1,024,2026-05-18,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1625000,6500000,IDR
SO-2605-024,2,024,2026-05-18,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1600000,3200000,IDR
SO-2605-025,1,025,2026-05-19,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,3,850000,2550000,IDR
SO-2605-025,2,025,2026-05-19,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,2,1150000,2300000,IDR
SO-2605-026,1,026,2026-05-20,May,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,675000,675000,IDR
SO-2605-026,2,026,2026-05-20,May,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,6,695000,4170000,IDR
SO-2605-027,1,027,2026-05-21,May,PT. ARENDRA GLOBAL SOLUSI,HANIEF,JAKARTA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,20,1375000,27500000,IDR
SO-2605-028,1,028,2026-05-21,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,5,850000,4250000,IDR
SO-2605-029,1,029,2026-05-21,May,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1600000,6400000,IDR
SO-2605-030,1,030,2026-05-21,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1625000,6500000,IDR
SO-2605-031,1,031,2026-05-22,May,PT. TRIKUSUMA JAYA PERKASA,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,16,1600000,25600000,IDR
SO-2605-032,1,032,2026-05-22,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,3,1625000,4875000,IDR
SO-2605-032,2,032,2026-05-22,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1600000,3200000,IDR
SO-2605-033,1,033,2026-05-26,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,4,850000,3400000,IDR
SO-2605-034,1,034,2026-05-26,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,3,1625000,4875000,IDR
SO-2605-034,2,034,2026-05-26,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1600000,6400000,IDR
SO-2605-035,1,035,2026-05-28,May,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,12,850000,10200000,IDR
SO-2605-036,1,036,2026-05-29,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,2,1625000,3250000,IDR
SO-2605-036,2,036,2026-05-29,May,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,3,1600000,4800000,IDR
SO-2605-037,1,037,2026-05-29,May,PT. MAHAKARYA BERKAT PUTRA MANDIRI,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1600000,16000000,IDR
SO-2605-038,1,038,2026-05-30,May,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,675000,675000,IDR
SO-2605-038,2,038,2026-05-30,May,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ104,VULGIS 11.00-20 AJ104,10,750000,7500000,IDR
SO-2606-001,1,001,2026-06-02,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,4,695000,2780000,IDR
SO-2606-002,1,002,2026-06-02,Jun,VINCENT,DODI,JAKARTA,GIS,VULKANISIR,JADI,G175016AJ101,GIS 7.50-16 AJ101,2,890000,1780000,IDR
SO-2606-003,1,003,2026-06-02,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,3,850000,2550000,IDR
SO-2606-003,2,003,2026-06-02,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,2,1150000,2300000,IDR
SO-2606-004,1,004,2026-06-02,Jun,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,735000,735000,IDR
SO-2606-004,2,004,2026-06-02,Jun,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,2,770000,1540000,IDR
SO-2606-005,1,005,2026-06-02,Jun,ADI PAMADI,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1700000,3400000,IDR
SO-2606-005,2,005,2026-06-02,Jun,ADI PAMADI,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G11000R20AJ104,GIS 10.00R20 AJ104,2,1800000,3600000,IDR
SO-2606-006,1,006,2026-06-02,Jun,PT. TRIDOMINITAMA,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,8,1560000,12480000,IDR
SO-2606-007,1,007,2026-06-03,Jun,PT. SAMUDERA PERDANA SELARAS,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,20,1620000,32400000,IDR
SO-2606-008,1,008,2026-06-03,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,5,1600000,8000000,IDR
SO-2606-009,1,009,2026-06-04,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,7,850000,5950000,IDR
SO-2606-009,2,009,2026-06-04,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,5,1150000,5750000,IDR
SO-2606-010,1,010,2026-06-06,Jun,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,4,675000,2700000,IDR
SO-2606-010,2,010,2026-06-06,Jun,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ104,VULGIS 11.00-20 AJ104,16,750000,12000000,IDR
SO-2606-011,1,011,2026-06-06,Jun,IBU SEKAR,PUTRA LUBIS,JAKARTA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,10,1580000,15800000,IDR
SO-2606-012,1,012,2026-06-08,Jun,BUNGA DARU SEMARANG,YONO,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,5,875000,4375000,IDR
SO-2606-013,1,013,2026-06-08,Jun,MIFTAHUL ARIF,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG175016AJ101,VULGIS 7.50-16 AJ101,1,650000,650000,IDR
SO-2606-013,2,013,2026-06-08,Jun,MIFTAHUL ARIF,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,2,830000,1660000,IDR
SO-2606-013,3,013,2026-06-08,Jun,MIFTAHUL ARIF,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG1000R20AJ104,VULGIS 10.00R20 AJ104,2,900000,1800000,IDR
SO-2606-014,1,014,2026-06-08,Jun,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,20,1530000,30600000,IDR
SO-2606-015,1,015,2026-06-08,Jun,PT. MAHAKARYA BERKAT PUTRA MANDIRI,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1600000,16000000,IDR
SO-2606-016,1,016,2026-06-09,Jun,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,3,735000,2205000,IDR
SO-2606-016,2,016,2026-06-09,Jun,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,2,770000,1540000,IDR
SO-2606-017,1,017,2026-06-09,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,10,850000,8500000,IDR
SO-2606-018,1,018,2026-06-10,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,675000,675000,IDR
SO-2606-018,2,018,2026-06-10,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,3,695000,2085000,IDR
SO-2606-019,1,019,2026-06-10,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-020,1,020,2026-06-11,Jun,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,2,850000,1700000,IDR
SO-2606-020,2,020,2026-06-11,Jun,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,3,870000,2610000,IDR
SO-2606-020,3,020,2026-06-11,Jun,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,2,880000,1760000,IDR
SO-2606-020,4,020,2026-06-11,Jun,KARTIKA SEMESTA LOGISTIK,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1100R20AJ101,VULGIS 11.00R20 AJ101,1,900000,900000,IDR
SO-2606-021,1,021,2026-06-11,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,8,880000,7040000,IDR
SO-2606-022,1,022,2026-06-11,Jun,PT. ARENDRA GLOBAL SOLUSI,HANIEF,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1375000,13750000,IDR
SO-2606-023,1,023,2026-06-11,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1600000,3200000,IDR
SO-2606-023,2,023,2026-06-11,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-024,1,024,2026-06-12,Jun,PT. ARENDRA GLOBAL SOLUSI,HANIEF,JAKARTA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,20,1375000,27500000,IDR
SO-2606-025,1,025,2026-06-15,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1600000,6400000,IDR
SO-2606-025,2,025,2026-06-15,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-026,1,026,2026-06-15,Jun,PT. BAHTERA TUNGGAL MANDIRI,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,875000,875000,IDR
SO-2606-026,2,026,2026-06-15,Jun,PT. BAHTERA TUNGGAL MANDIRI,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG1000R20AJ104,VULGIS 10.00R20 AJ104,1,1050000,1050000,IDR
SO-2606-027,1,027,2026-06-17,Jun,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1530000,15300000,IDR
SO-2606-028,1,028,2026-06-18,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,2,675000,1350000,IDR
SO-2606-028,2,028,2026-06-18,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,1,695000,695000,IDR
SO-2606-029,1,029,2026-06-18,Jun,PT. YUJU INDONESIA,SAIFUL,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,2,700000,1400000,IDR
SO-2606-030,1,030,2026-06-18,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,9,880000,7920000,IDR
SO-2606-030,2,030,2026-06-18,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,3,1180000,3540000,IDR
SO-2606-031,1,031,2026-06-18,Jun,PT. MUARA BERKAH LOGISTIK,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG175016AJ101,VULGIS 7.50-16 AJ101,2,680000,1360000,IDR
SO-2606-031,2,031,2026-06-18,Jun,PT. MUARA BERKAH LOGISTIK,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,2,950000,1900000,IDR
SO-2606-032,1,032,2026-06-19,Jun,ARTO MORO ANUGERAH LAUTAN,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1700000,6800000,IDR
SO-2606-033,1,033,2026-06-23,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,7,880000,6160000,IDR
SO-2606-033,2,033,2026-06-23,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,3,1180000,3540000,IDR
SO-2606-034,1,034,2026-06-23,Jun,PT. MAHAKARYA BERKAT PUTRA MANDIRI,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,8,1600000,12800000,IDR
SO-2606-035,1,035,2026-06-24,Jun,ADI PAMADI,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,2,900000,1800000,IDR
SO-2606-035,2,035,2026-06-24,Jun,ADI PAMADI,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG1000R20AJ104,VULGIS 10.00R20 AJ104,2,900000,1800000,IDR
SO-2606-036,1,036,2026-06-24,Jun,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,5,1530000,7650000,IDR
SO-2606-037,1,037,2026-06-25,Jun,IBU SEKAR,PUTRA LUBIS,JAKARTA,GIS,VULKANISIR,JADI,G111R225AJ101,GIS 11R22.5 AJ101,4,1650000,6600000,IDR
SO-2606-038,1,038,2026-06-25,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,10,880000,8800000,IDR
SO-2606-039,1,039,2026-06-25,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-040,1,040,2026-06-27,Jun,MIFTAHUL ARIF,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,830000,830000,IDR
SO-2606-040,2,040,2026-06-27,Jun,MIFTAHUL ARIF,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG1000R20AJ104,VULGIS 10.00R20 AJ104,1,900000,900000,IDR
SO-2606-041,1,041,2026-06-27,Jun,PT. PUTRA SETIA PURNAMA,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,4,1650000,6600000,IDR
SO-2606-042,1,042,2026-06-29,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,2,1600000,3200000,IDR
SO-2606-042,2,042,2026-06-29,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-043,1,043,2026-06-29,Jun,CV. JIBRIANT SEJAHTERA MANDIRI,DODI,JAKARTA,GIS,VULKANISIR,JADI,G182516AJ101,GIS 8.25-16 AJ101,2,1050000,2100000,IDR
SO-2606-044,1,044,2026-06-30,Jun,ADI PAMADI,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G111R225AJ104,GIS 11R22.5 AJ104,2,1800000,3600000,IDR
SO-2606-045,1,045,2026-06-30,Jun,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,675000,675000,IDR
SO-2606-046,1,046,2026-06-30,Jun,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ104,VULGIS 11.00-20 AJ104,12,750000,9000000,IDR
SO-2606-047,1,047,2026-06-30,Jun,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,10,880000,8800000,IDR
SO-2606-048,1,048,2026-06-30,Jun,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1625000,8125000,IDR
SO-2606-049,1,049,2026-06-30,Jun,PT. TUGU BETON SEMESTA ABADI,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G11100R20AJ101,GIS 11.00R20 AJ101,5,1780000,8900000,IDR
SO-2606-049,2,049,2026-06-30,Jun,PT. TUGU BETON SEMESTA ABADI,DJOKO,SEMARANG,GIS,VULKANISIR,JADI,G11100R20AJ104,GIS 11.00R20 AJ104,7,1780000,12460000,IDR
SO-2607-001,1,001,2026-07-01,Jul,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,12,1530000,18360000,IDR
SO-2607-002,1,002,2026-07-01,Jul,ARTO MORO ANUGERAH LAUTAN,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,1,900000,900000,IDR
SO-2607-002,2,002,2026-07-01,Jul,ARTO MORO ANUGERAH LAUTAN,AHMAD,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,4,970000,3880000,IDR
SO-2607-003,1,003,2026-07-01,Jul,PT. MAHAKARYA BERKAT PUTRA MANDIRI,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1700000,17000000,IDR
SO-2607-004,1,004,2026-07-02,Jul,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,3,880000,2640000,IDR
SO-2607-005,1,005,2026-07-03,Jul,ADI PAMADI,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G11000R20AJ104,GIS 10.00R20 AJ104,10,1800000,18000000,IDR
SO-2607-006,1,006,2026-07-03,Jul,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1710000,8550000,IDR
SO-2607-007,1,007,2026-07-06,Jul,PT. BAHTERA TUNGGAL MANDIRI,AHMAD,SEMARANG,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,4,1700000,6800000,IDR
SO-2607-008,1,008,2026-07-06,Jul,PT. EKA PS,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1110020AJ101,GIS 11.00-20 AJ101,5,1710000,8550000,IDR
SO-2607-009,1,009,2026-07-06,Jul,PT. EKA TRANSPORT,RIO,JAKARTA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,30,1658000,49740000,IDR
SO-2607-010,1,010,2026-07-07,Jul,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,3,675000,2025000,IDR
SO-2607-010,2,010,2026-07-07,Jul,LARISMA BAN,HANIEF,JAKARTA,VULGIS,VULKANISIR,JASA,VG110020AJ104,VULGIS 11.00-20 AJ104,3,750000,2250000,IDR
SO-2607-011,1,011,2026-07-07,Jul,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,5,675000,3375000,IDR
SO-2607-011,2,011,2026-07-07,Jul,PT. GAYADIA TANGGUH INSANI,PUTRA LUBIS,JAKARTA,VULGIS,VULKANISIR,JASA,VG1000R20AJ101,VULGIS 10.00R20 AJ101,3,695000,2085000,IDR
SO-2607-012,1,012,2026-07-07,Jul,PT. BUNGA DARU,YONO,SURABAYA,GIS,VULKANISIR,JADI,G1100020AJ101,GIS 10.00-20 AJ101,10,1630000,16300000,IDR
SO-2607-013,1,013,2026-07-07,Jul,PT. SIBA SURYA,PUTRA,SEMARANG,VULGIS,VULKANISIR,JASA,VG110020AJ101,VULGIS 11.00-20 AJ101,8,880000,7040000,IDR
SO-2607-014,1,014,2026-07-07,Jul,GARASI HAJI ULIL,DJOKO,SEMARANG,VULGIS,VULKANISIR,JASA,VG100020AJ101,VULGIS 10.00-20 AJ101,7,735000,5145000,IDR
